id,source,page,category,visibleName,width,height,quality,use,rightsStatus,permissionRequired,origin,location,date
profile-2-p17-03,SignAds venture Profile.pdf,17,Buses  Advertising,Al Baik,556,417,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p17-04,SignAds venture Profile.pdf,17,Buses  Advertising,Dr Agarwals,437,246,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p17-05,SignAds venture Profile.pdf,17,Buses  Advertising,Dr Agarwals,265,293,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p17-06,SignAds venture Profile.pdf,17,Buses  Advertising,Dr Agarwals,399,224,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p17-07,SignAds venture Profile.pdf,17,Buses  Advertising,Not reliably legible,231,173,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p18-02,SignAds venture Profile.pdf,18,LED screens,Generic display mockup,278,309,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p18-03,SignAds venture Profile.pdf,18,LED screens,Generic display mockup,225,225,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p18-04,SignAds venture Profile.pdf,18,LED screens,Generic display mockup,225,224,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p18-05,SignAds venture Profile.pdf,18,LED screens,NEOYON / reference collage,300,168,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p19-02,SignAds venture Profile.pdf,19,NO Parking Boards Advertising,Disha Computer Institute,437,327,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p19-03,SignAds venture Profile.pdf,19,NO Parking Boards Advertising,Potato,252,336,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p19-04,SignAds venture Profile.pdf,19,NO Parking Boards Advertising,Porter,584,576,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p19-05,SignAds venture Profile.pdf,19,NO Parking Boards Advertising,Ajeya,280,210,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p19-06,SignAds venture Profile.pdf,19,NO Parking Boards Advertising,SkoolEase,280,210,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p20-02,SignAds venture Profile.pdf,20,Bicycle  Advertising,Not reliably legible,681,514,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p20-03,SignAds venture Profile.pdf,20,Bicycle  Advertising,Not reliably legible,720,781,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p21-02,SignAds venture Profile.pdf,21,Railway Advertising,Not reliably legible,246,327,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p21-03,SignAds venture Profile.pdf,21,Railway Advertising,Not reliably legible,260,347,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p21-04,SignAds venture Profile.pdf,21,Railway Advertising,Bata,876,750,small-card,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p21-05,SignAds venture Profile.pdf,21,Railway Advertising,Multiple names; not reliably legible,430,249,thumbnail-only,Portfolio candidate; request original for prominent use,permission-pending,True,pdf-extraction,,
profile-2-p22-02,SignAds venture Profile.pdf,22,ALL PRINTING SERVICES DONE HERE,Generic printing collage,500,500,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p22-03,SignAds venture Profile.pdf,22,ALL PRINTING SERVICES DONE HERE,Generic stationery mockup,460,480,thumbnail-only,Internal reference only; authorship unverified,permission-pending,True,reference-image,,
profile-2-p23-02,SignAds venture Profile.pdf,23,Thank You…,SignAds,332,337,thumbnail-only,Internal brand/reference asset,permission-pending,False,pdf-extraction,,
print-study,Generated for SignAds on 2026-09-17,,Illustration,None,1536,1024,hero,Supporting category image and silent video loop,illustrative,False,ai-generated,,2026-09-17
letter-study,Generated for SignAds on 2026-09-17,,Illustration,None,1672,941,hero,Supporting category image and silent video loop,illustrative,False,ai-generated,,2026-09-17
brand-sculpture,Generated for SignAds on 2026-09-17,,Illustration,None,1536,1024,hero,Animated conceptual homepage hero,illustrative,False,ai-generated,,2026-09-17
